Plot_ID,Species,Stems / ha,Mean DBH,BA / ha,Vol / ha,N_Pulses,N_Returns,First_Return,Multi_Return,LPI,CDensity,FCI,LCI,GapFrac,VCC,hMean,qhMean,h25,h50,h60,h70,h75,h80,h90,h95,h99,hmax,IQR,Skew,Kurtosis,VDR,CanopyRR,L_mean,L_scale,L_skewness,L_kurtosis,L_variation,Closed_Vol,Open_Vol,Oligophotic_Vol,Euphotic_Vol,cvm_filled_vol,cvm_filled_prop,Closed_Prop,Open_Prop,Oligophotic_Prop,Euphotic_Prop,p_mean,p_scale,p_skewness,p_kurtosis,p_variation,chm_rumple,chm_ruggedness,chm_roughness,chm_vf,chm_vl,chm_vd,wv_peaks,wv_auc,wv_mid,wv_min,wv_max,wv_width,wv_prominence,wv_midmin,wv_midmax,wv_minmax,h25f,h50f,h60f,h70f,h75f,h80f,h85f,h90f,h95f,h99f,L_mean_f,L_scale_f,L_skewness_f,L_kurtosis_f,L_variation_f
PL0145,SS,1150,10,10.11,46,3891,6526,0.596,0.404,0.283,0.488,61.66,29.753,0.512,81.52,3.775,4.051,2.63,3.414,3.785,4.283,4.599,4.959,5.822,6.588,8.363,11.731,1.969,1.295,2.235,0.709,0.451,3.775,0.788,0.239,0.106,0.209,467.5,1585.125,855,2394,3249,0.613,0.088,0.299,0.161,0.452,1.823,0.842,0.199,0.102,0.462,1.431,1.884,6.925,1536.722,712.61,824.111,1,3.357,4,13.5,2.5,11,0.094,1.538,857,557.333,2.649,3.476,3.896,4.411,4.751,5.059,5.429,5.944,6.664,8.244,3.839,0.804,0.224,0.093,0.21
PL0147,SS,1400,21,51.79,455,4477,9551,0.469,0.531,0.076,0.917,99.42,84.943,0.083,100,13.892,14.256,12.055,14.047,14.778,15.581,15.978,16.454,17.783,18.842,20.894,22.849,3.923,-0.434,0.685,0.385,0.665,13.892,1.774,-0.061,0.158,0.128,212.625,118.125,6928.875,3849.375,10778.25,0.971,0.019,0.011,0.624,0.347,3.788,2.001,0.385,0.238,0.528,5.675,2.853,19.315,7963.121,5420.272,2542.849,1,7.674,14.5,24.5,2.5,22,0.129,122.25,263.308,2.154,13.23,15.128,15.806,16.489,16.9,17.371,17.947,18.569,19.466,21.596,15.001,1.618,-0.052,0.158,0.108
PL0148,LPS,1200,20,41.05,278,5159,10065,0.513,0.487,0.202,0.751,89.73,59.662,0.249,96.6,9.879,10.342,8.077,10.03,10.688,11.628,12.014,12.56,13.723,14.654,16.196,18.179,3.937,-0.279,-0.133,0.448,0.61,9.879,1.726,-0.052,0.126,0.175,543.875,400.75,4481.625,3302.25,7783.875,0.891,0.062,0.046,0.513,0.378,4.541,2.371,0.276,0.063,0.522,4.7,2.551,16.493,5253.732,2645.877,2607.855,2,7.677,10,20,2.5,17.5,0.116,9.651,1467,152,8.652,10.626,11.493,12.258,12.736,13.122,13.621,14.175,15.043,16.454,10.563,1.66,-0.061,0.125,0.157
PL0149,LPS,1250,24,57.6,379,3415,6817,0.501,0.499,0.134,0.825,95.93,68.989,0.175,95.66,12.239,12.863,10.255,12.735,13.627,14.549,14.981,15.489,16.694,17.922,19.664,22.362,4.726,-0.634,0.123,0.431,0.622,12.239,2.193,-0.13,0.146,0.179,590.625,378,6021.875,3854,9875.875,0.91,0.054,0.035,0.555,0.355,4.102,2.301,0.383,0.187,0.561,4.882,6.58,22.072,6305.573,3980.656,2324.917,2,8.928,13.5,24,2.5,21.5,0.097,7.979,468.75,58.75,10.984,13.624,14.45,15.235,15.629,16.069,16.598,17.432,18.278,20.181,12.899,2.219,-0.17,0.158,0.172
PL0150,SS,1150,22,44.82,355,3526,7125,0.495,0.505,0.037,0.955,99.69,91.442,0.045,99.13,11.269,11.734,8.965,11.221,12.136,13.1,13.689,14.222,15.657,16.685,18.187,20.679,4.724,0.011,-0.551,0.457,0.62,11.269,1.869,0.004,0.087,0.166,195.25,409.25,5623.75,3834.375,9458.125,0.94,0.019,0.041,0.559,0.381,2.728,1.293,0.282,0.197,0.474,2.705,6.445,19.54,6425.85,5005.355,1420.496,1,8.977,11.5,22.5,2.5,20,0.11,75.767,1136.5,15,10.058,12.206,13.071,14.068,14.613,15.216,15.719,16.42,17.247,18.723,12.252,1.789,-0.015,0.094,0.146
PL0151,SS,375,9,2.37,9,2661,3351,0.794,0.206,0.168,0.24,28,8.551,0.76,48.26,2.77,2.85,2.25,2.589,2.76,3.006,3.112,3.27,3.689,4.124,5.105,5.568,0.862,1.283,1.595,0.535,0.543,2.77,0.357,0.263,0.115,0.129,378.75,1136.25,150.25,450.75,601,0.284,0.179,0.537,0.071,0.213,0.948,0.486,0.206,0.032,0.512,0.884,0.773,4.077,728.902,508.921,219.98,1,2.463,4,7.5,2.5,5,0.043,1.151,794,690,2.249,2.583,2.748,2.995,3.102,3.259,3.479,3.706,4.132,5.107,2.771,0.359,0.269,0.122,0.13
PL0152,SS/LPS,1125,27,68.51,659,3752,7485,0.501,0.499,0.111,0.867,98,75.328,0.133,95.29,17.205,17.822,14.054,17.497,18.833,20.133,20.808,21.525,22.912,24.004,25.49,27.544,6.754,-0.494,0.001,0.365,0.675,17.205,2.62,-0.084,0.098,0.152,568.75,276.25,8688.75,4220.25,12909,0.939,0.041,0.02,0.632,0.307,4.354,2.576,0.454,0.26,0.592,6.927,5.182,25.093,9191.109,6226.898,2964.211,3,12.752,18.5,29.5,2.5,27,0.076,33.152,1525,46,15.13,18.144,19.311,20.849,21.622,22.275,22.852,23.599,24.504,25.725,17.976,2.506,-0.067,0.088,0.139
PL0153,SS,650,8,4.05,17,2664,3553,0.75,0.25,0.14,0.357,42.49,15.523,0.643,64.49,2.916,2.996,2.378,2.769,2.957,3.213,3.31,3.437,3.901,4.218,4.868,5.712,0.932,0.952,0.642,0.515,0.599,2.916,0.377,0.195,0.098,0.129,446.625,744.375,346.875,578.125,925,0.437,0.211,0.352,0.164,0.273,1.138,0.531,0.151,0.048,0.467,1.419,1.014,4.136,942.098,652.227,289.871,1,2.541,4,7.5,2.5,5,0.059,1.217,420.667,345.667,2.411,2.816,3.007,3.262,3.359,3.496,3.72,3.943,4.246,4.886,2.958,0.384,0.182,0.095,0.13
PL0154,SS,1350,20,53.62,503,4131,12659,0.326,0.674,0.111,0.856,99.59,78.881,0.144,96.88,15.405,16.042,12.946,16.026,17.015,18.029,18.562,19.125,20.552,21.649,23.686,25.453,5.616,-0.688,0.247,0.37,0.65,15.405,2.484,-0.136,0.139,0.161,276,129.375,8188,3838.125,12026.125,0.968,0.022,0.01,0.659,0.309,6.396,3.267,0.319,0.128,0.511,1.331,8.174,22.785,9248.207,3390.575,5857.632,1,10.066,17.5,27,2.5,24.5,0.094,21.487,402.875,18.75,15.798,18.249,19.024,19.808,20.212,20.628,21.122,21.732,22.633,24.457,17.694,2.002,-0.157,0.161,0.113
PL0155,SS,1600,19,47.78,428,5237,14905,0.351,0.649,0.135,0.848,99.12,76.976,0.152,100,13.584,13.899,11.893,13.806,14.534,15.285,15.683,16.057,17.115,17.885,19.111,20.992,3.79,-0.661,0.805,0.342,0.711,13.584,1.63,-0.098,0.138,0.12,133.25,61.5,6743.75,3112.5,9856.25,0.981,0.013,0.006,0.671,0.31,5.159,2.67,0.364,0.167,0.518,5.459,2.574,16.916,8181.162,2720.504,5460.658,1,7.284,14.5,22.5,2.5,20,0.135,72.208,399.923,5.538,13.833,15.407,15.978,16.563,16.896,17.213,17.574,17.993,18.544,19.572,15.246,1.264,-0.087,0.134,0.083
