,Plot_ID,Species,Stems / ha,Mean DBH,BA / ha,Vol / ha,Skew,CanopyRR,Oligophotic_Prop,Euphotic_Prop,p_mean,p_kurtosis,p_variation,chm_rumple,chm_ruggedness,chm_vf,chm_vl,wv_midmin
129,PL0147,SS,1400,21,51.79,455,-0.434,0.665,0.624,0.347,3.788,0.238,0.528,5.675,2.853,7963.121,5420.272,122.25
130,PL0148,LPS,1200,20,41.05,278,-0.279,0.61,0.513,0.378,4.541,0.063,0.522,4.7,2.551,5253.732,2645.877,9.651
131,PL0149,LPS,1250,24,57.6,379,-0.634,0.622,0.555,0.355,4.102,0.187,0.561,4.882,6.58,6305.573,3980.656,7.979
132,PL0150,SS,1150,22,44.82,355,0.011,0.62,0.559,0.381,2.728,0.197,0.474,2.705,6.445,6425.85,5005.355,75.767
133,PL0151,SS,375,9,2.37,9,1.283,0.543,0.071,0.213,0.948,0.032,0.512,0.884,0.773,728.902,508.921,1.151
134,PL0152,SS/LPS,1125,27,68.51,659,-0.494,0.675,0.632,0.307,4.354,0.26,0.592,6.927,5.182,9191.109,6226.898,33.152
135,PL0153,SS,650,8,4.05,17,0.952,0.599,0.164,0.273,1.138,0.048,0.467,1.419,1.014,942.098,652.227,1.217
136,PL0154,SS,1350,20,53.62,503,-0.688,0.65,0.659,0.309,6.396,0.128,0.511,1.331,8.174,9248.207,3390.575,21.487
137,PL0155,SS,1600,19,47.78,428,-0.661,0.711,0.671,0.31,5.159,0.167,0.518,5.459,2.574,8181.162,2720.504,72.208
138,PL0157,LPS,1650,17,36.54,224,-0.307,0.611,0.523,0.369,4.265,0.067,0.511,4.602,2.332,4871.967,2064.498,8.096
139,PL0158,LPS,1525,18,40.16,298,-0.464,0.68,0.658,0.296,4.766,0.071,0.512,4.412,2.32,6085.033,2479.578,24.902
140,PL0159,LPS,1950,18,52.26,378,-0.506,0.627,0.551,0.348,4.819,0.047,0.509,3.448,4.929,5249.59,2189.114,6.479
141,PL0160,SS,1625,17,39.25,299,-0.096,0.647,0.541,0.421,3.324,0.184,0.49,3.82,1.87,5787.394,3524.337,59.4
142,PL0161,LPS,1525,20,46.46,334,-0.259,0.614,0.465,0.418,4.636,0.107,0.515,2.417,5.139,5605.412,2279.005,20.038
143,PL0162,SS,1450,18,39.95,273,0.072,0.582,0.505,0.474,3.328,0.17,0.439,3.963,4.139,5491.155,3225.709,18.353
144,PL0163,LPS,2475,17,56.96,376,-0.251,0.587,0.463,0.371,3.464,0.081,0.508,2.738,4.801,3856.214,2374.505,5.112
145,PL0164,SS,1925,16,42.07,323,0.321,0.573,0.435,0.475,3.163,0.224,0.489,4.445,7.787,6180.441,4422.43,45.933
146,PL0165,LPS,1575,19,48.02,316,-0.282,0.607,0.523,0.349,3.635,0.099,0.541,2.597,6.241,4717.373,2899.848,7.8
147,PL0166,LPS,1925,18,50.68,317,-0.359,0.631,0.531,0.399,3.987,0.118,0.471,2.956,4.466,4932.597,1675.372,9.429
148,PL0167,SS,1750,18,47.77,395,-0.35,0.595,0.577,0.357,2.596,0.198,0.46,2.159,6.121,5501.698,4112.06,4.646
149,PL0168,LPS,1875,17,44.93,262,-0.253,0.61,0.48,0.45,4.25,0.102,0.48,2.639,2.357,5003.999,1272.837,8.164
150,PL0169,SS,1500,16,31.14,189,-0.019,0.634,0.546,0.41,2.803,0.146,0.498,2.182,3.264,4059.52,2246.565,21.645
151,PL0170,SS,500,36,52.67,581,-0.251,0.744,0.473,0.276,4.137,0.297,0.533,7.061,3.983,9825.358,6746.607,0.0
152,PL0171,SS,500,38,59.1,708,-0.366,0.675,0.606,0.294,4.372,0.245,0.514,5.764,8.559,9139.71,6557.611,57.9
153,PL0172,LPN,775,13,10.84,54,0.657,0.486,0.151,0.259,2.282,0.059,0.555,0.758,0.456,1198.546,427.41,1.776
154,PL0173,SS,400,39,48.71,506,-0.507,0.748,0.508,0.264,4.884,0.239,0.563,4.436,6.965,9234.257,5719.276,0.0
155,PL0174,SS,1250,18,31.02,219,0.055,0.574,0.502,0.413,3.685,0.129,0.457,3.107,4.344,4947.485,2547.855,13.403
156,PL0175,SS,2575,14,43.13,334,-0.747,0.721,0.633,0.335,2.523,0.257,0.497,2.481,3.912,5274.998,3786.986,81.667
157,PL0176,SS,1225,18,34.17,300,-0.634,0.695,0.512,0.282,3.361,0.192,0.533,4.83,3.808,5041.241,3318.353,58.846
158,PL0178,SS/CP,325,28,16.11,154,-0.326,0.564,0.245,0.163,4.888,0.065,0.646,0.942,1.344,3242.385,1906.294,6.279
159,PL0179,SS,1375,19,41.65,344,-0.476,0.643,0.582,0.378,3.595,0.181,0.511,3.582,5.317,6062.477,3764.874,17.353
160,PL0180,SS/JL,1450,17,33.88,227,-0.184,0.614,0.534,0.419,2.155,0.135,0.474,1.861,4.385,4333.472,3283.637,8.553
161,PL0181,SS,1425,20,47.13,378,-0.075,0.648,0.56,0.342,3.412,0.195,0.47,1.727,3.581,5132.42,3026.528,56.818
162,PL0182,LPS,1025,22,40.24,235,0.249,0.514,0.419,0.478,3.796,0.091,0.449,1.011,3.042,4177.838,2034.276,3.375
163,PL0183,SS,1225,23,49.88,411,-0.447,0.668,0.625,0.326,2.892,0.267,0.53,2.177,4.289,6449.411,4811.376,30.761
164,PL0184,SS,1800,14,31.42,209,-0.524,0.678,0.574,0.306,3.345,0.087,0.539,1.75,4.373,4326.004,2159.814,25.923
165,PL0185,LPS,1650,20,54.7,291,-0.276,0.619,0.542,0.407,4.04,0.075,0.473,3.871,2.079,4808.587,2310.955,8.248
